id,name,category,brand,price,quantity_sold,availability,date,rating
clothing_000,BrandA Shorts,clothing,BrandA,244.78,16,74,2025-08-12,3.2
clothing_000,BrandA Shorts,clothing,BrandA,213.73,6,35,2025-08-13,3.1
clothing_000,BrandA Shorts,clothing,BrandA,241.0,3,23,2025-08-14,4.2
clothing_000,BrandA Shorts,clothing,BrandA,238.44,12,27,2025-08-15,4.9
clothing_000,BrandA Shorts,clothing,BrandA,244.84,19,81,2025-08-16,5.0
clothing_000,BrandA Shorts,clothing,BrandA,261.68,19,89,2025-08-17,3.0
clothing_000,BrandA Shorts,clothing,BrandA,239.33,15,31,2025-08-18,3.5
clothing_000,BrandA Shorts,clothing,BrandA,247.64,15,104,2025-08-19,3.3
clothing_000,BrandA Shorts,clothing,BrandA,223.67,22,100,2025-08-20,3.4
clothing_000,BrandA Shorts,clothing,BrandA,232.56,26,122,2025-08-21,3.8
clothing_000,BrandA Shorts,clothing,BrandA,240.27,12,65,2025-08-22,4.0
clothing_000,BrandA Shorts,clothing,BrandA,251.09,24,186,2025-08-23,4.2
clothing_000,BrandA Shorts,clothing,BrandA,236.31,6,12,2025-08-24,3.8
clothing_000,BrandA Shorts,clothing,BrandA,219.18,3,10,2025-08-25,4.4
clothing_000,BrandA Shorts,clothing,BrandA,243.96,35,206,2025-08-26,4.8
clothing_000,BrandA Shorts,clothing,BrandA,236.13,7,29,2025-08-27,4.3
clothing_000,BrandA Shorts,clothing,BrandA,249.72,13,69,2025-08-28,3.8
clothing_000,BrandA Shorts,clothing,BrandA,226.82,12,26,2025-08-29,4.4
clothing_000,BrandA Shorts,clothing,BrandA,246.06,6,44,2025-08-30,4.0
clothing_000,BrandA Shorts,clothing,BrandA,269.7,6,33,2025-08-31,4.1
clothing_000,BrandA Shorts,clothing,BrandA,257.89,29,166,2025-09-01,3.6
clothing_000,BrandA Shorts,clothing,BrandA,236.89,7,31,2025-09-02,4.8
clothing_000,BrandA Shorts,clothing,BrandA,228.77,12,89,2025-09-03,3.5
clothing_000,BrandA Shorts,clothing,BrandA,221.77,6,31,2025-09-04,4.0
clothing_000,BrandA Shorts,clothing,BrandA,224.85,11,33,2025-09-05,3.4
clothing_000,BrandA Shorts,clothing,BrandA,222.48,6,21,2025-09-06,3.5
clothing_000,BrandA Shorts,clothing,BrandA,261.1,7,55,2025-09-07,3.5
clothing_000,BrandA Shorts,clothing,BrandA,237.39,4,16,2025-09-08,4.3
clothing_000,BrandA Shorts,clothing,BrandA,242.28,21,111,2025-09-09,4.2
clothing_000,BrandA Shorts,clothing,BrandA,235.57,8,54,2025-09-10,3.9
clothing_001,BrandB Jeans,clothing,BrandB,184.75,30,117,2025-08-12,3.4
clothing_001,BrandB Jeans,clothing,BrandB,194.42,21,44,2025-08-13,4.0
clothing_001,BrandB Jeans,clothing,BrandB,199.85,6,36,2025-08-14,3.8
clothing_001,BrandB Jeans,clothing,BrandB,185.71,30,217,2025-08-15,3.5
clothing_001,BrandB Jeans,clothing,BrandB,211.64,21,108,2025-08-16,3.5
clothing_001,BrandB Jeans,clothing,BrandB,203.9,15,61,2025-08-17,4.5
clothing_001,BrandB Jeans,clothing,BrandB,199.54,7,20,2025-08-18,4.8
clothing_001,BrandB Jeans,clothing,BrandB,196.33,3,10,2025-08-19,4.1
clothing_001,BrandB Jeans,clothing,BrandB,203.8,12,75,2025-08-20,3.5
clothing_001,BrandB Jeans,clothing,BrandB,204.88,19,134,2025-08-21,4.3
clothing_001,BrandB Jeans,clothing,BrandB,184.88,15,53,2025-08-22,3.5
clothing_001,BrandB Jeans,clothing,BrandB,200.58,32,185,2025-08-23,4.6
clothing_001,BrandB Jeans,clothing,BrandB,228.32,17,53,2025-08-24,4.4
clothing_001,BrandB Jeans,clothing,BrandB,182.87,36,278,2025-08-25,4.8
clothing_001,BrandB Jeans,clothing,BrandB,192.22,38,295,2025-08-26,4.7
clothing_001,BrandB Jeans,clothing,BrandB,185.08,21,81,2025-08-27,3.3
clothing_001,BrandB Jeans,clothing,BrandB,200.45,25,135,2025-08-28,3.2
clothing_001,BrandB Jeans,clothing,BrandB,194.02,23,148,2025-08-29,4.4
clothing_001,BrandB Jeans,clothing,BrandB,191.87,16,109,2025-08-30,4.6
clothing_001,BrandB Jeans,clothing,BrandB,206.42,48,283,2025-08-31,4.4
clothing_001,BrandB Jeans,clothing,BrandB,195.73,14,59,2025-09-01,3.2
clothing_001,BrandB Jeans,clothing,BrandB,188.65,18,94,2025-09-02,3.6
clothing_001,BrandB Jeans,clothing,BrandB,189.35,4,27,2025-09-03,3.7
clothing_001,BrandB Jeans,clothing,BrandB,194.07,21,69,2025-09-04,4.2
clothing_001,BrandB Jeans,clothing,BrandB,217.02,29,184,2025-09-05,5.0
clothing_001,BrandB Jeans,clothing,BrandB,181.35,30,108,2025-09-06,3.9
clothing_001,BrandB Jeans,clothing,BrandB,193.72,11,32,2025-09-07,3.5
clothing_001,BrandB Jeans,clothing,BrandB,210.86,24,88,2025-09-08,4.9
clothing_001,BrandB Jeans,clothing,BrandB,197.16,29,131,2025-09-09,3.5
clothing_001,BrandB Jeans,clothing,BrandB,205.94,3,10,2025-09-10,3.1
clothing_002,BrandC T-Shirt,clothing,BrandC,102.11,26,153,2025-08-12,3.1
clothing_002,BrandC T-Shirt,clothing,BrandC,105.06,28,170,2025-08-13,4.2
clothing_002,BrandC T-Shirt,clothing,BrandC,106.9,41,248,2025-08-14,4.1
clothing_002,BrandC T-Shirt,clothing,BrandC,106.27,33,189,2025-08-15,4.6
clothing_002,BrandC T-Shirt,clothing,BrandC,103.2,16,52,2025-08-16,3.8
clothing_002,BrandC T-Shirt,clothing,BrandC,109.93,15,89,2025-08-17,3.8
clothing_002,BrandC T-Shirt,clothing,BrandC,99.02,18,89,2025-08-18,4.4
clothing_002,BrandC T-Shirt,clothing,BrandC,107.89,5,22,2025-08-19,4.9
clothing_002,BrandC T-Shirt,clothing,BrandC,93.17,33,180,2025-08-20,4.5
clothing_002,BrandC T-Shirt,clothing,BrandC,103.08,23,165,2025-08-21,4.1
clothing_002,BrandC T-Shirt,clothing,BrandC,109.15,25,85,2025-08-22,3.8
clothing_002,BrandC T-Shirt,clothing,BrandC,107.59,31,117,2025-08-23,3.2
clothing_002,BrandC T-Shirt,clothing,BrandC,107.14,48,290,2025-08-24,4.0
clothing_002,BrandC T-Shirt,clothing,BrandC,100.48,7,39,2025-08-25,4.1
clothing_002,BrandC T-Shirt,clothing,BrandC,103.22,41,321,2025-08-26,5.0
clothing_002,BrandC T-Shirt,clothing,BrandC,114.77,43,263,2025-08-27,4.7
clothing_002,BrandC T-Shirt,clothing,BrandC,105.35,20,66,2025-08-28,3.8
clothing_002,BrandC T-Shirt,clothing,BrandC,96.57,27,193,2025-08-29,4.8
clothing_002,BrandC T-Shirt,clothing,BrandC,110.89,25,102,2025-08-30,4.4
clothing_002,BrandC T-Shirt,clothing,BrandC,96.8,29,101,2025-08-31,3.7
clothing_002,BrandC T-Shirt,clothing,BrandC,96.55,18,97,2025-09-01,4.5
clothing_002,BrandC T-Shirt,clothing,BrandC,108.52,35,213,2025-09-02,3.5
clothing_002,BrandC T-Shirt,clothing,BrandC,102.11,3,15,2025-09-03,3.9
clothing_002,BrandC T-Shirt,clothing,BrandC,94.89,6,45,2025-09-04,4.8
clothing_002,BrandC T-Shirt,clothing,BrandC,109.57,5,14,2025-09-05,3.4
clothing_002,BrandC T-Shirt,clothing,BrandC,104.53,42,314,2025-09-06,4.9
clothing_002,BrandC T-Shirt,clothing,BrandC,108.57,7,28,2025-09-07,3.3
clothing_002,BrandC T-Shirt,clothing,BrandC,98.57,17,61,2025-09-08,3.7
clothing_002,BrandC T-Shirt,clothing,BrandC,103.32,3,11,2025-09-09,3.8
clothing_002,BrandC T-Shirt,clothing,BrandC,96.93,10,24,2025-09-10,4.9
clothing_003,BrandD Dress,clothing,BrandD,204.0,43,309,2025-08-12,3.1
clothing_003,BrandD Dress,clothing,BrandD,217.92,25,198,2025-08-13,3.3
clothing_003,BrandD Dress,clothing,BrandD,199.62,41,289,2025-08-14,4.7
clothing_003,BrandD Dress,clothing,BrandD,191.37,9,21,2025-08-15,4.7
clothing_003,BrandD Dress,clothing,BrandD,227.72,25,191,2025-08-16,4.7
clothing_003,BrandD Dress,clothing,BrandD,224.17,4,30,2025-08-17,4.2
clothing_003,BrandD Dress,clothing,BrandD,226.68,16,66,2025-08-18,3.2
clothing_003,BrandD Dress,clothing,BrandD,221.44,35,179,2025-08-19,4.7
clothing_003,BrandD Dress,clothing,BrandD,241.74,36,159,2025-08-20,3.3
clothing_003,BrandD Dress,clothing,BrandD,235.36,10,28,2025-08-21,3.0
clothing_003,BrandD Dress,clothing,BrandD,230.55,9,41,2025-08-22,4.8
clothing_003,BrandD Dress,clothing,BrandD,229.9,14,61,2025-08-23,4.2
clothing_003,BrandD Dress,clothing,BrandD,208.66,16,126,2025-08-24,4.0
clothing_003,BrandD Dress,clothing,BrandD,231.27,7,17,2025-08-25,3.3
clothing_003,BrandD Dress,clothing,BrandD,222.83,6,24,2025-08-26,4.8
clothing_003,BrandD Dress,clothing,BrandD,241.67,7,22,2025-08-27,3.1
clothing_003,BrandD Dress,clothing,BrandD,212.82,7,17,2025-08-28,3.2
clothing_003,BrandD Dress,clothing,BrandD,202.73,13,65,2025-08-29,4.4
clothing_003,BrandD Dress,clothing,BrandD,219.86,29,218,2025-08-30,3.1
clothing_003,BrandD Dress,clothing,BrandD,237.17,20,62,2025-08-31,3.4
clothing_003,BrandD Dress,clothing,BrandD,215.67,11,46,2025-09-01,3.9
clothing_003,BrandD Dress,clothing,BrandD,228.24,22,111,2025-09-02,4.1
clothing_003,BrandD Dress,clothing,BrandD,217.31,15,51,2025-09-03,3.5
clothing_003,BrandD Dress,clothing,BrandD,216.65,12,39,2025-09-04,3.7
clothing_003,BrandD Dress,clothing,BrandD,237.57,29,144,2025-09-05,3.2
clothing_003,BrandD Dress,clothing,BrandD,254.16,26,119,2025-09-06,3.3
clothing_003,BrandD Dress,clothing,BrandD,217.89,15,81,2025-09-07,3.7
clothing_003,BrandD Dress,clothing,BrandD,219.05,10,26,2025-09-08,3.3
clothing_003,BrandD Dress,clothing,BrandD,211.48,7,25,2025-09-09,3.3
clothing_003,BrandD Dress,clothing,BrandD,190.81,38,101,2025-09-10,3.8
clothing_004,BrandE Jacket,clothing,BrandE,21.04,40,277,2025-08-12,4.4
clothing_004,BrandE Jacket,clothing,BrandE,19.18,65,209,2025-08-13,4.9
clothing_004,BrandE Jacket,clothing,BrandE,20.08,42,217,2025-08-14,4.4
clothing_004,BrandE Jacket,clothing,BrandE,20.83,28,212,2025-08-15,3.6
clothing_004,BrandE Jacket,clothing,BrandE,20.06,31,164,2025-08-16,4.1
clothing_004,BrandE Jacket,clothing,BrandE,22.59,7,19,2025-08-17,3.0
clothing_004,BrandE Jacket,clothing,BrandE,20.98,25,169,2025-08-18,3.2
clothing_004,BrandE Jacket,clothing,BrandE,21.54,26,197,2025-08-19,5.0
clothing_004,BrandE Jacket,clothing,BrandE,20.51,35,221,2025-08-20,3.1
clothing_004,BrandE Jacket,clothing,BrandE,21.68,42,285,2025-08-21,4.7
clothing_004,BrandE Jacket,clothing,BrandE,20.44,28,208,2025-08-22,3.6
clothing_004,BrandE Jacket,clothing,BrandE,23.75,29,182,2025-08-23,4.8
clothing_004,BrandE Jacket,clothing,BrandE,22.67,35,191,2025-08-24,3.7
clothing_004,BrandE Jacket,clothing,BrandE,21.79,4,13,2025-08-25,4.1
clothing_004,BrandE Jacket,clothing,BrandE,19.05,32,197,2025-08-26,3.3
clothing_004,BrandE Jacket,clothing,BrandE,21.04,46,250,2025-08-27,5.0
clothing_004,BrandE Jacket,clothing,BrandE,21.94,47,134,2025-08-28,3.4
clothing_004,BrandE Jacket,clothing,BrandE,21.0,53,138,2025-08-29,4.1
clothing_004,BrandE Jacket,clothing,BrandE,21.08,18,90,2025-08-30,4.1
clothing_004,BrandE Jacket,clothing,BrandE,19.15,36,74,2025-08-31,4.2
clothing_004,BrandE Jacket,clothing,BrandE,22.89,35,243,2025-09-01,4.9
